iter	Logloss
0	0.01871409139
1	0.001592437536
2	0.0003746217884
3	0.0002033351825
4	0.0001105130088
5	9.258045746e-05
6	8.592394887e-05
7	7.1785115e-05
8	5.390486825e-05
9	4.165696445e-05
10	3.720053035e-05
11	3.488979006e-05
12	3.125868892e-05
13	3.045210914e-05
14	2.7434586e-05
15	2.343139376e-05
16	2.325548816e-05
17	2.24965258e-05
18	1.946328957e-05
19	1.711430462e-05
20	1.663428266e-05
21	1.645097582e-05
22	1.495573576e-05
23	1.447396699e-05
24	1.361010623e-05
25	1.228556624e-05
26	1.106599441e-05
27	9.910496897e-06
28	9.525442593e-06
29	8.378098559e-06
30	7.750608599e-06
31	7.502696241e-06
32	7.232537175e-06
33	6.865188318e-06
34	6.262154223e-06
35	6.107072735e-06
36	5.984173622e-06
37	5.899580992e-06
38	5.553242166e-06
39	5.42170695e-06
40	5.347391469e-06
41	5.31581061e-06
42	5.240401903e-06
43	5.185920801e-06
44	5.106341829e-06
45	5.000410126e-06
46	4.909816341e-06
47	4.8695895e-06
48	4.680992997e-06
49	4.497899145e-06
50	4.340792222e-06
51	4.150905237e-06
52	4.119058064e-06
53	4.033159653e-06
54	3.989279878e-06
55	3.914417352e-06
56	3.805730165e-06
57	3.526850301e-06
58	3.464677914e-06
59	3.436066227e-06
60	3.367508602e-06
61	3.313537334e-06
62	3.290394779e-06
63	3.252719919e-06
64	3.143839815e-06
65	3.091879925e-06
66	2.900582498e-06
67	2.896347218e-06
68	2.824243549e-06
69	2.813588513e-06
70	2.789463795e-06
71	2.766741823e-06
72	2.678679912e-06
73	2.671905192e-06
74	2.626529856e-06
75	2.505691173e-06
76	2.474400912e-06
77	2.461922774e-06
78	2.375769935e-06
79	2.315129706e-06
80	2.301926027e-06
81	2.297168076e-06
82	2.274192038e-06
83	2.100444879e-06
84	2.039541182e-06
85	1.956342864e-06
86	1.942743237e-06
87	1.935399366e-06
88	1.919348149e-06
89	1.901354604e-06
90	1.872734743e-06
91	1.866359989e-06
92	1.846609296e-06
93	1.829276004e-06
94	1.78302443e-06
95	1.766957563e-06
96	1.76122147e-06
97	1.751134499e-06
98	1.739313555e-06
99	1.726343049e-06
