iter	Passed	Remaining
0	196	19457
1	325	15971
2	460	14900
3	595	14280
4	730	13881
5	858	13456
6	1031	13703
7	1196	13761
8	1390	14062
9	1520	13687
10	1658	13421
11	1797	13180
12	1932	12930
13	2065	12685
14	2226	12616
15	2386	12531
16	2516	12285
17	2642	12038
18	2782	11861
19	2914	11657
20	3072	11559
21	3296	11688
22	3463	11595
23	3626	11483
24	3783	11351
25	3943	11224
26	4079	11029
27	4231	10881
28	4392	10755
29	4530	10570
30	4664	10382
31	4838	10281
32	4979	10109
33	5115	9929
34	5245	9742
35	5381	9567
36	5556	9460
37	5697	9296
38	5846	9144
39	6002	9003
40	6152	8853
41	6287	8682
42	6422	8513
43	6575	8369
44	6724	8218
45	6865	8059
46	7011	7906
47	7186	7785
48	7330	7629
49	7467	7467
50	7613	7315
51	7787	7188
52	7915	7019
53	8067	6872
54	8243	6744
55	8381	6585
56	8515	6424
57	8700	6300
58	8839	6142
59	8976	5984
60	9105	5821
61	9234	5659
62	9371	5503
63	9513	5351
64	9647	5194
65	9787	5042
66	9917	4884
67	10053	4730
68	10182	4574
69	10312	4419
70	10443	4265
71	10577	4113
72	10709	3961
73	10850	3812
74	10979	3659
75	11139	3517
76	11277	3368
77	11429	3223
78	11603	3084
79	11740	2935
80	11875	2785
81	12030	2640
82	12210	2500
83	12351	2352
84	12487	2203
85	12623	2054
86	12748	1904
87	12897	1758
88	13077	1616
89	13219	1468
90	13353	1320
91	13490	1173
92	13622	1025
93	13762	878
94	13906	731
95	14054	585
96	14187	438
97	14321	292
98	14453	145
99	14587	0
